condition,template,depth,description,sequence
main_logic,logic,2,Normal compact formal-logic baseline.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<formal>
<constants>
c0 = c0
c1 = c1
c2 = c2
</constants>
<predicates>
Ax: x is willow
Bx: x is ivory
Cx: x is teal
Dx: x is violet
Ex: x is north
Fx: x is south
Gx: x is east
</predicates>
<premises>
D(c0)
F(c0)
E(c0) & D(c0) -> B(c1)
B(c1) -> F(c1)
F(c0) & D(c0) -> A(c1)
A(c1) -> G(c1)
G(c0) & D(c0) -> C(c1)
C(c1) -> E(c1)
G(c1) & A(c1) -> B(c2)
B(c2) -> G(c2)
E(c1) & C(c1) -> C(c2)
C(c2) -> F(c2)
F(c1) & B(c1) -> A(c2)
A(c2) -> E(c2)
</premises>
<proof>
D(c0) ; R
F(c0) ; R
A(c1) ; ->E
G(c1) ; ->E
B(c2) ; ->E
</proof>
<conclusion>
B(c2)
</conclusion>
</formal>
<answer>
ivory
</answer>"
main_nl_exact,nl_exact,2,Normal exact natural-language baseline.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<think>
<premises>
c0 is violet.
c0 is south.
If c0 is north and c0 is violet, then c1 is ivory.
If c1 is ivory, then c1 is south.
If c0 is south and c0 is violet, then c1 is willow.
If c1 is willow, then c1 is east.
If c0 is east and c0 is violet, then c1 is teal.
If c1 is teal, then c1 is north.
If c1 is east and c1 is willow, then c2 is ivory.
If c2 is ivory, then c2 is east.
If c1 is north and c1 is teal, then c2 is teal.
If c2 is teal, then c2 is south.
If c1 is south and c1 is ivory, then c2 is willow.
If c2 is willow, then c2 is north.
</premises>
<proof>
c0 is violet.
c0 is south.
c1 is willow.
c1 is east.
c2 is ivory.
</proof>
<conclusion>
c2 is ivory.
</conclusion>
</think>
<answer>
ivory
</answer>"
terse_nl,terse_nl,2,Natural-language trace with shorter proof wording.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<think>
<premises>
c0 is violet.
c0 is south.
If c0 is north and c0 is violet, then c1 is ivory.
If c1 is ivory, then c1 is south.
If c0 is south and c0 is violet, then c1 is willow.
If c1 is willow, then c1 is east.
If c0 is east and c0 is violet, then c1 is teal.
If c1 is teal, then c1 is north.
If c1 is east and c1 is willow, then c2 is ivory.
If c2 is ivory, then c2 is east.
If c1 is north and c1 is teal, then c2 is teal.
If c2 is teal, then c2 is south.
If c1 is south and c1 is ivory, then c2 is willow.
If c2 is willow, then c2 is north.
</premises>
<proof>
c0 is violet.
c0 is south.
c1 is willow.
c1 is east.
c2 is ivory.
</proof>
<conclusion>
c2 is ivory.
</conclusion>
</think>
<answer>
ivory
</answer>"
rule_annotated_nl,rule_annotated_nl,2,Natural-language trace with explicit rule labels.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<think>
<premises>
c0 is violet.
c0 is south.
If c0 is north and c0 is violet, then c1 is ivory.
If c1 is ivory, then c1 is south.
If c0 is south and c0 is violet, then c1 is willow.
If c1 is willow, then c1 is east.
If c0 is east and c0 is violet, then c1 is teal.
If c1 is teal, then c1 is north.
If c1 is east and c1 is willow, then c2 is ivory.
If c2 is ivory, then c2 is east.
If c1 is north and c1 is teal, then c2 is teal.
If c2 is teal, then c2 is south.
If c1 is south and c1 is ivory, then c2 is willow.
If c2 is willow, then c2 is north.
</premises>
<proof>
c0 is violet. [rule: R]
c0 is south. [rule: R]
c1 is willow. [rule: ->E]
c1 is east. [rule: ->E]
c2 is ivory. [rule: ->E]
</proof>
<conclusion>
c2 is ivory.
</conclusion>
</think>
<answer>
ivory
</answer>"
pseudocode,pseudocode,2,Algorithm-like natural-language derivation trace.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<think>
<premises>
c0 is violet.
c0 is south.
If c0 is north and c0 is violet, then c1 is ivory.
If c1 is ivory, then c1 is south.
If c0 is south and c0 is violet, then c1 is willow.
If c1 is willow, then c1 is east.
If c0 is east and c0 is violet, then c1 is teal.
If c1 is teal, then c1 is north.
If c1 is east and c1 is willow, then c2 is ivory.
If c2 is ivory, then c2 is east.
If c1 is north and c1 is teal, then c2 is teal.
If c2 is teal, then c2 is south.
If c1 is south and c1 is ivory, then c2 is willow.
If c2 is willow, then c2 is north.
</premises>
<proof>
step_1: derive ""c0 is violet"" using R.
step_2: derive ""c0 is south"" using R.
step_3: derive ""c1 is willow"" using ->E.
step_4: derive ""c1 is east"" using ->E.
step_5: derive ""c2 is ivory"" using ->E.
</proof>
<conclusion>
c2 is ivory.
</conclusion>
</think>
<answer>
ivory
</answer>"
shuffled_logic,shuffled_logic,2,Formal proof lines shuffled as an order negative control.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<formal>
<constants>
c0 = c0
c1 = c1
c2 = c2
</constants>
<predicates>
Ax: x is willow
Bx: x is ivory
Cx: x is teal
Dx: x is violet
Ex: x is north
Fx: x is south
Gx: x is east
</predicates>
<premises>
D(c0)
F(c0)
E(c0) & D(c0) -> B(c1)
B(c1) -> F(c1)
F(c0) & D(c0) -> A(c1)
A(c1) -> G(c1)
G(c0) & D(c0) -> C(c1)
C(c1) -> E(c1)
G(c1) & A(c1) -> B(c2)
B(c2) -> G(c2)
E(c1) & C(c1) -> C(c2)
C(c2) -> F(c2)
F(c1) & B(c1) -> A(c2)
A(c2) -> E(c2)
</premises>
<proof>
A(c1) ; ->E
F(c0) ; R
D(c0) ; R
B(c2) ; ->E
G(c1) ; ->E
</proof>
<conclusion>
B(c2)
</conclusion>
</formal>
<answer>
ivory
</answer>"
invalid_logic,invalid_logic,2,Formal-looking trace with invalid rule citations.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<formal>
<constants>
c0 = c0
c1 = c1
c2 = c2
</constants>
<predicates>
Ax: x is willow
Bx: x is ivory
Cx: x is teal
Dx: x is violet
Ex: x is north
Fx: x is south
Gx: x is east
</predicates>
<premises>
D(c0)
F(c0)
E(c0) & D(c0) -> B(c1)
B(c1) -> F(c1)
F(c0) & D(c0) -> A(c1)
A(c1) -> G(c1)
G(c0) & D(c0) -> C(c1)
C(c1) -> E(c1)
G(c1) & A(c1) -> B(c2)
B(c2) -> G(c2)
E(c1) & C(c1) -> C(c2)
C(c2) -> F(c2)
F(c1) & B(c1) -> A(c2)
A(c2) -> E(c2)
</premises>
<proof>
D(c0) ; R
F(c0) ; R
A(c1) ; R
G(c1) ; R
B(c2) ; R
</proof>
<conclusion>
B(c2)
</conclusion>
</formal>
<answer>
ivory
</answer>"
shuffled_nl,shuffled_nl,2,Natural-language proof lines shuffled as an order negative control.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<think>
<premises>
c0 is violet.
c0 is south.
If c0 is north and c0 is violet, then c1 is ivory.
If c1 is ivory, then c1 is south.
If c0 is south and c0 is violet, then c1 is willow.
If c1 is willow, then c1 is east.
If c0 is east and c0 is violet, then c1 is teal.
If c1 is teal, then c1 is north.
If c1 is east and c1 is willow, then c2 is ivory.
If c2 is ivory, then c2 is east.
If c1 is north and c1 is teal, then c2 is teal.
If c2 is teal, then c2 is south.
If c1 is south and c1 is ivory, then c2 is willow.
If c2 is willow, then c2 is north.
</premises>
<proof>
c1 is willow.
c0 is violet.
c0 is south.
c2 is ivory.
c1 is east.
</proof>
<conclusion>
c2 is ivory.
</conclusion>
</think>
<answer>
ivory
</answer>"
symbol_padded_logic,logic_symbol_padded,2,Formal atoms expanded into predicate-call syntax.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<formal>
<constants>
cc0 = c0
cc1 = c1
cc2 = c2
</constants>
<predicates>
PA(x): x is willow
PB(x): x is ivory
PC(x): x is teal
PD(x): x is violet
PE(x): x is north
PF(x): x is south
PG(x): x is east
</predicates>
<premises>
PD(cc0)
PF(cc0)
PE(cc0) & PD(cc0) -> PB(cc1)
PB(cc1) -> PF(cc1)
PF(cc0) & PD(cc0) -> PA(cc1)
PA(cc1) -> PG(cc1)
PG(cc0) & PD(cc0) -> PC(cc1)
PC(cc1) -> PE(cc1)
PG(cc1) & PA(cc1) -> PB(cc2)
PB(cc2) -> PG(cc2)
PE(cc1) & PC(cc1) -> PC(cc2)
PC(cc2) -> PF(cc2)
PF(cc1) & PB(cc1) -> PA(cc2)
PA(cc2) -> PE(cc2)
</premises>
<proof>
PD(cc0) ; R
PF(cc0) ; R
PA(cc1) ; ->E
PG(cc1) ; ->E
PB(cc2) ; ->E
</proof>
<conclusion>
PB(cc2)
</conclusion>
</formal>
<answer>
ivory
</answer>"
wordified_logic,logic_wordified,2,Formal atoms expanded with natural-word predicate names.,"<question>
1. c0 is violet.
2. c0 is south.
3. If c0 is north and c0 is violet, then c1 is ivory.
4. If c1 is ivory, then c1 is south.
5. If c0 is south and c0 is violet, then c1 is willow.
6. If c1 is willow, then c1 is east.
7. If c0 is east and c0 is violet, then c1 is teal.
8. If c1 is teal, then c1 is north.
9. If c1 is east and c1 is willow, then c2 is ivory.
10. If c2 is ivory, then c2 is east.
11. If c1 is north and c1 is teal, then c2 is teal.
12. If c2 is teal, then c2 is south.
13. If c1 is south and c1 is ivory, then c2 is willow.
14. If c2 is willow, then c2 is north.
Which state applies to c2?
</question>

<formal>
<constants>
c0 = c0
c1 = c1
c2 = c2
</constants>
<predicates>
Willow(x): x is willow
Ivory(x): x is ivory
Teal(x): x is teal
Violet(x): x is violet
North(x): x is north
South(x): x is south
East(x): x is east
</predicates>
<premises>
Violet(c0)
South(c0)
North(c0) & Violet(c0) -> Ivory(c1)
Ivory(c1) -> South(c1)
South(c0) & Violet(c0) -> Willow(c1)
Willow(c1) -> East(c1)
East(c0) & Violet(c0) -> Teal(c1)
Teal(c1) -> North(c1)
East(c1) & Willow(c1) -> Ivory(c2)
Ivory(c2) -> East(c2)
North(c1) & Teal(c1) -> Teal(c2)
Teal(c2) -> South(c2)
South(c1) & Ivory(c1) -> Willow(c2)
Willow(c2) -> North(c2)
</premises>
<proof>
Violet(c0) ; R
South(c0) ; R
Willow(c1) ; ->E
East(c1) ; ->E
Ivory(c2) ; ->E
</proof>
<conclusion>
Ivory(c2)
</conclusion>
</formal>
<answer>
ivory
</answer>"
