experiment,scope,sft_done,sft_expected,eval_done,eval_expected,status
iGSM,paired-family full suite,30,30,30,30,complete
maze,paired-family full suite,30,30,7,30,partial eval
attribute constraints,paired-family full suite,30,30,0,30,eval pending
semantic iGSM,semantic bare-symbol paired rerun,30,30,30,30,complete
typed maze,typed-symbol paired rerun,30,30,0,30,eval running
hard attribute fresh,fresh hard-attribute-only eval,30,30,0,30,eval running
trace controls,six train-1-to-25 perturbations,,,18,18,complete
shortcut-rate,"rates 0.3/0.5/0.8, logic and NL",,,18,18,complete
hybrid order,formal-then-NL and NL-then-formal full train-depth suite,,,30,30,complete
shortcut-kind,position and initial-marker shortcuts,,,24,24,complete
conditioned dual 10k,conditioned formal/NL dual modality,,,30,30,complete
conditioned dual 50k,longer conditioned formal/NL dual modality,,,23,30,partial eval
batch-size,logic/NL/conditioned dual bsz 2/4/8/16,10,12,0,16,SFT recovery running
